;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PROV1740;Zillah;x
PROV1834;Dungunab;x
PROV1833;Doleh;x
PROV3675;Al Mirfa;x
PROV920;Hasaka;x
PROV1157;Diriyah;x
PROV856;Kythira;x
PROV1743;Leer;x
PROV3676;Roermond;x
PROV3677;Outreau;x
EFR;East Frisia;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EFR_ADJ;East Frisian;;;;;;;;;;;;;;;;;;;;;;;x;;;;
FRI;West Frisia;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
FRI_ADJ;West Frisian;;;;;;;;;;;;;;;;;;;;;;;x;;;;
BRG;Burgundy;;;;;;;;;;;;;;;;;;;;;;;x;;;;
BRG_absolute_monarchy;Burgundian Circle;;;;;;;;;;;;;;;;;;;;;;;x;;;;
BRG_prussian_constitutionalism;Burgundian Circle;;;;;;;;;;;;;;;;;;;;;;;x;;;;
BRG_hms_government;Burgundian Circle;;;;;;;;;;;;;;;;;;;;;;;x;;;;
BRG_democracy,Republic of Burgundy;;;;;;;;;;;;;;;;;;;;;;;x;;;;
BRG_proletarian_dictatorship;People's Republic of Burgundy;;;;;;;;;;;;;;;;;;;;;;;x;;;;
BRG_presidential_dictatorship;Republic of Burgundy;;;;;;;;;;;;;;;;;;;;;;;x;;;;
BRG_fascist_dictatorship;Empire of Greater Burgundy;;;;;;;;;;;;;;;;;;;;;;;x;;;;
BRG_ADJ;Burgundian;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EFR_radical;Radical Party;Parti Radical;Radikale Partei;Partia Radykalna;Partido Radical;Partito Radicale;Radik0lis P0rt;Radik0ln0 Strana;Radik0lis P0rt;Radicale Partij;Partido Radical;;Radikaalipuolue;
EFR_communist;Communist Party;Parti Communiste;Kommunistische Partei;Partia Komunistyczna;Partido Comunista;Partito Comunista;Kommunista P0rt;Komunistick0 Strana;Kommunista P0rt;Communistische Partij;Partido Comunista;;Kommunistinenpuolue;
EFR_conservative;Conservative Party;Parti Conservateur;Konservative Partei;Partia Konserwatywna;Partido Conservador;Partito Conservatore;Konzervat0v P0rt;Konzervativn0 Strana;Konzervat0v P0rt;Conservatieve Partij;Partido Conservador;;Konservatiivipuolue;
EFR_fascist;Fascist Party;Parti Fasciste;Faschistische Partei;Partia Faszystowska;Partido Fascista;Partito Fascista;Fasiszta P0rt;Fa0istick0 Strana;Fasiszta P0rt;Fascistische Partij;Partido Fascista;;Fasistinenpuolue;
EFR_liberal;Liberal Party;Parti Lib0ral;Liberale Partei;Partia Liberalna;Partido Liberal;Partito Liberale;Liber0lis P0rt;Liber0ln0 Strana;Liber0lis P0rt;Liberale Partij;Partido Liberal;;Liberaalipuolue;
EFR_reactionary;National Party;Parti National;Nationale Partei;Partia Narodowa;Partido Nacional;Partito Nazionale;Nemzeti P0rt;N0rodn0 Strana;Nemzeti P0rt;Nationale Partij;Partido Nacional;;Kansallispuolue;
EFR_socialist;Socialist Party;Parti Socialiste;Sozialistische Partei;Partia Socjalistyczna;Partido Socialista;Partito Socialista;Szocialista P0rt;Socialistick0 Strana;Szocialista P0rt;Socialistische Partij;Partido Socialista;;Sosialistinenpuolue;
UTR;Utrecht;;;;;;;;;;;;;;;;;;;;;;;x;;;;
UTR_absolute_monarchy;Lordship of Utrecht;;;;;;;;;;;;;;;;;;;;;;;x;;;;
UTR_prussian_constitutionalism;Lordship of Utrecht;;;;;;;;;;;;;;;;;;;;;;;x;;;;
UTR_hms_government;Lordship of Utrecht;;;;;;;;;;;;;;;;;;;;;;;x;;;;
UTR_ADJ;Utrechter;;;;;;;;;;;;;;;;;;;;;;;x;;;;
PAL;The Palatinate;;;;;;;;;;;;;;;;;;;;;;;x;;;;
PAL_ADJ;Palatinate;;;;;;;;;;;;;;;;;;;;;;;x;;;;
PAL_absolute_monarchy;Electorate of the Palatinate;;;;;;;;;;;;;;;;;;;;;;;x;;;;
PAL_prussian_constitutionalism;Electorate of the Palatinate;;;;;;;;;;;;;;;;;;;;;;;x;;;;
PAL_hms_government;Electorate of the Palatinate;;;;;;;;;;;;;;;;;;;;;;;x;;;;
LGE_theocracy;Prince-Bishopric of Liège;;;;;;;;;;;;;;;;;;;;;;;x;;;;
LGE_absolute_monarchy;Grand Duchy of Liège;;;;;;;;;;;;;;;;;;;;;;;x;;;;
LGE_prussian_constitutionalism;Grand Duchy of Liège;;;;;;;;;;;;;;;;;;;;;;;x;;;;
LGE_hms_government;Grand Duchy of Liège;;;;;;;;;;;;;;;;;;;;;;;x;;;;
LGE_democracy;Republic of Liège;;;;;;;;;;;;;;;;;;;;;;;x;;;;
LGE_presidential_dictatorship;Republic of Liège;;;;;;;;;;;;;;;;;;;;;;;x;;;;
LGE;Liège;;;;;;;;;;;;;;;;;;;;;;;x;;;;
LGE_ADJ;Liège;;;;;;;;;;;;;;;;;;;;;;;x;;;;
OVJ;Overijssel;;;;;;;;;;;;;;;;;;;;;;;x;;;;
